,importance
NIR,0.25297955120955834
SAVI,0.1810171578147571
RE,0.14350300159060905
NDVI,0.09017406839381911
G,0.08938263580011947
B,0.07417746833060988
ExG,0.052587337662581383
NDRE,0.05239420131041723
R,0.033350106589677395
VARI,0.030434471297851092
